id,image_url,principalOrFirstMaker,title,longTitle,width,height
en-RP-T-1994-21-17(V),http://lh3.googleusercontent.com/lPGSez8hFVHvINwuOuKInv2JGlpOZgLubLDoMbSh11BcUGrThFp_wltxHHtsyjOPVXeloprxomr2iIYbCBCUwR2ibw=s0,Johannes Tavenraat,Hoofd van een paard,Hoofd van een paard;; Johannes Tavenraat;; 1833,2500,1931
en-RP-T-1994-21-18(R),http://lh3.googleusercontent.com/LyBsmJjsQf75up9NRiFYl3bReqeqfNG2Y6c9AQYbmMVuu1NsCy4Atnjl67lFgNV9BMTCQQV8K44hiz6tmWUcBXjsSP0=s0,Johannes Tavenraat,Rune te Rozendaal,Rune te Rozendaal;; Johannes Tavenraat;; 1833,2500,1942
en-RP-T-1994-21-20(R),http://lh3.googleusercontent.com/xB6Z7jEHlC-8V29lLzU7NubUFeOt26tzRg4uTp77t-LkS2Kfnu3PHMvg0yG_kpJO0VynKvV4UpD2jxRHhHwJ3vWcCQ=s0,Johannes Tavenraat,Huizen en een kerk op de Eltenberg,Huizen en een kerk op de Eltenberg;; Johannes Tavenraat;; 1833,2500,1938
en-RP-T-1994-21-24(V),http://lh3.googleusercontent.com/9jnAw7_hAt789HCQOUMVuM3xOLZYsnip-wQam9ptZZMOS9QyYq7ptLsHjIxqnksKa0czeqfnoXsiZ6gPWNF39rHRYeM=s0,Johannes Tavenraat,Zeilschip op een rivier;; vermoedelijk de IJssel,Zeilschip op een rivier;; vermoedelijk de IJssel;; Johannes Tavenraat;; 1833,2500,1931
en-RP-T-1994-21-25(R),http://lh3.googleusercontent.com/jsEmgQLyhqtGbrnGr3WYpyWyEWvIdajV33dwqEtmg9BAIgPonemh-dTIbgIQl-Kkqs4BXmLUnnD2xGGU4_C5Lv2JZA=s0,Johannes Tavenraat,Landweg,Landweg;; Johannes Tavenraat;; 1833 - 1841,2500,1949
en-RP-T-1994-21-32(R),http://lh3.googleusercontent.com/KiVXVev4pBgs9Hu86cNJYzqm_2EBkEQXtrMbiV_Niwoh6tvMNDkFuamOX_KbQjk81vYm9ZLaY7LvHzWhQPZZBfxqNg=s0,Johannes Tavenraat,Landschappen;; onder andere met jagers;; een waterval en een landweg,Landschappen;; onder andere met jagers;; een waterval en een landweg;; Johannes Tavenraat;; 1833 - 1841,2500,1950
en-RP-T-1994-21-36(V),http://lh3.googleusercontent.com/xeLUiodECKbZ87VPhKdnAX4dON15HPGtd6ipWn-zKXTq28rC73ocb8tKv600_oEdjgPIAQ2uxatjZYvfIhESmBDO_gY=s0,Johannes Tavenraat,Steurarend,Steurarend;; Johannes Tavenraat;; 1833 - 1841,2500,1927
en-RP-T-1994-21-37(R),http://lh3.googleusercontent.com/1jPWeUGf20mTp0XftgVE5_ZmXGGecmNgMbChNji7QJUqx6-nsk-2pcxqZWjptAkKaMR-ZKg2eyitE4sDFYhDW0HZgZyv=s0,Johannes Tavenraat,Heuvellandschap en twee patrijzen met jongen,Heuvellandschap en twee patrijzen met jongen;; Johannes Tavenraat;; 1833 - 1841,2500,1959
en-RP-T-1994-23-3(V),http://lh3.googleusercontent.com/j5b9EMyIco-83lgy9NWz4hPqaLZcTK-f45MGW8FM0vaFYTV7cUAcOEI8OfJ4Ock23EooOlnApqo2ZSMgvs_QrcavbVAG=s0,Johannes Tavenraat,Notitie,Notitie;; Johannes Tavenraat;; 1839 - 1874,1567,2500
en-RP-T-1994-23-4(R),http://lh3.googleusercontent.com/90YHk2hLes57gHJFFx7LfUWPFKT_BPkUtYYDoLUkDBkTHX5fhUlHtoF2KhpWRNBU63g9pWiP93NrFZ5lYkg6GgoJvBFL=s0,Johannes Tavenraat,Houten kist tegen een boomstam,Houten kist tegen een boomstam;; Johannes Tavenraat;; 1839 - 1872,1568,2500
en-RP-T-1994-23-8(V),http://lh3.googleusercontent.com/4rhsgkB8JoSUUgOX1QojHNlnt6Zne32U6PdLkFcbHGB96en-lHWqnElLplWY2exR0XjcEa1n3LnT-pktDzbp3mNBvdo=s0,Johannes Tavenraat,Beukenbomen,Beukenbomen;; Johannes Tavenraat;; 1839 - 1872,1561,2500
en-RP-T-1994-23-9(R),http://lh3.googleusercontent.com/jRF5Em2rgVAEqB1gbl3YKU-WMsME0KmpySkTEZUk-R5-xhqow4Ya-vG6--UblxXBCiCH2pQZMfczLZOYQyvkpUvV4xU=s0,Johannes Tavenraat,Zittende man met een pet en mes in de hand,Zittende man met een pet en mes in de hand;; Johannes Tavenraat;; 1839 - 1872,1555,2500
en-RP-T-1994-23-11(R),http://lh3.googleusercontent.com/1nakeg6RL6AqKQVfZqb3B6DJG_Jsn08cBkL3i-PGFFHuRQG1xVbrkLTRXk1ZJO2zXQsYbgtKTKUwVI3GBd4lciL6HWFY=s0,Johannes Tavenraat,Arbeiderswoning,Arbeiderswoning;; Johannes Tavenraat;; 1839 - 1872,1555,2500
en-RP-T-1994-23-15(V),http://lh3.googleusercontent.com/QKI0ho8YEtkRjXRsW4brb3Pf9hmfQ_-VHdSH_kVG5HCFzvA1v2mCENynSMzwMl5RJbe6QNfCOWYMj0lqNTltCGYDrqBH=s0,Johannes Tavenraat,Boomstronken;; een zeilschip en twee vogels met lange snavels,Boomstronken;; een zeilschip en twee vogels met lange snavels;; Johannes Tavenraat;; 1839 - 1872,1576,2500
en-RP-T-1994-23-16(R),http://lh3.googleusercontent.com/ZYdXujRAJ4u8McESjsHs_jzahYTFMkJ76Z0yVIY5in7ySksIZrCqH6z8hEmL7JjvjGmn9aC8zGkQOy9PxhQX4PiQGw=s0,Johannes Tavenraat,Houten boot,Houten boot;; Johannes Tavenraat;; 1839 - 1872,1572,2500
en-RP-T-1994-23-22(V),http://lh3.googleusercontent.com/Y_4IYjAVGu4zw-nw-VXLeaNSPeTuELc5i-GC-5-6BGR7wR2B8cg9u9UZAFFR6Xy7L3J0gy3A2ShjyoxvDFmZMzOQqQ4=s0,Johannes Tavenraat,Boom,Boom;; Johannes Tavenraat;; c. 1872,1554,2500
en-RP-T-1994-23-23(R),http://lh3.googleusercontent.com/yin9yFfytEKmyARyB2ElgmybK-jEysaLpH2j-51zleZvYnjqSzN_qYt_c4Ob8CzYQUT0ialCi-jBm2EXfN46e6Uqztwb=s0,Johannes Tavenraat,Windmolen en kerktoren aan een weg in Noord-Brabant,Windmolen en kerktoren aan een weg in Noord-Brabant;; Johannes Tavenraat;; 1839 - c. 1872,1567,2500
en-RP-T-1994-23-53(V),http://lh3.googleusercontent.com/ipchEsorwCSINQgZAsyucUoMWIIsk3Vv3Yxyr-O033pHwBS3sPFshA7WmqoMAWhJptQodh3x1_kY7l14OQCMDXwnnQ=s0,Johannes Tavenraat,Heuvellandschap,Heuvellandschap;; Johannes Tavenraat;; 1839 - c. 1872,1578,2500
en-RP-T-1994-23-54(R),http://lh3.googleusercontent.com/JvufF-OMpVakLFCgVFTVpZAhA4pH7Wywm7AEASTEqwW9hfB8yR7W8npUu_X452-_QrPAb748FVk774DCviwq9ojK8Q=s0,Johannes Tavenraat,Diergaarde Kleef,Diergaarde Kleef;; Johannes Tavenraat;; c. 1839,1573,2500
en-RP-T-1994-23-59(R),http://lh3.googleusercontent.com/seEFgh9dpUrbMJddSjI-wxK8TrgbFynG-SXr1RMRkDG6gr85L3uSDOslF9McL9QW3UptqYZC2gq-yHO1DyOsMG-GeNlj=s0,Johannes Tavenraat,Landschap met een boerderij,Landschap met een boerderij;; Johannes Tavenraat;; 1839 - c. 1872,1553,2500
en-RP-T-1994-23-60(V),http://lh3.googleusercontent.com/ckKnqbc7AjNATHICIp_xVlOmsX0AKFuM4ciu9KjA1bXxoAqapX9TecqGQPO5ixSUqYHkbdg1Kq2yOajbxtTvUZFiMb5F=s0,Johannes Tavenraat,Landschap met bomen,Landschap met bomen;; Johannes Tavenraat;; 1839 - c. 1872,1580,2500
en-RP-T-1994-23-61(R),http://lh3.googleusercontent.com/WOOX_1Puu-zNtpgS0-bbJdb1jl2p3PaQbK0L-Xg3RTIfpz55JHP0HgxC8y_Wmi54Ch7jM17pHviwHy-pvglDFPh26fg=s0,Johannes Tavenraat,Landschap met een boomstam,Landschap met een boomstam;; Johannes Tavenraat;; 1839 - c. 1872,1555,2500
en-RP-T-1994-23-65(V),http://lh3.googleusercontent.com/UKQUJLYwuzy7cVIC-K49MPT-7fnxVffhzmazjCJr3QXLgQpS-l5F8QsKuNC92loG0BCf7jciqOYnOjjVfFU-XyemGg=s0,Johannes Tavenraat,Figuren op een laan in de bossen van Kleef,Figuren op een laan in de bossen van Kleef;; Johannes Tavenraat;; 1839 - c. 1872,1560,2500
en-RP-T-1994-23-66(R),http://lh3.googleusercontent.com/rowxFBT8Owrkk9N3_xZL8DcHuhuvUwEUVSAo9nX0xf8EifTmFkSWUM1kC1-fR6pwrCuKBbWk0LF5xsV_vtA-IIIPim4_=s0,Johannes Tavenraat,Laan in de bossen van Kleef,Laan in de bossen van Kleef;; Johannes Tavenraat;; 1839 - c. 1872,1576,2500
en-RP-T-1994-23-72(V),http://lh3.googleusercontent.com/ARZaq6RvYtFg3G-GKjyRZGqv5plDtJ74wOQwWIBD0lpiK_X-I5iJf3Beob-l9TWGXWfJIPcvEuLPO_gZBb1n-zPruiXN=s0,Johannes Tavenraat,Mannenkoppen;; een paard en een landschap met figuren,Mannenkoppen;; een paard en een landschap met figuren;; Johannes Tavenraat;; 1839 - c. 1872,1576,2500
en-RP-T-1994-23-73(R),http://lh3.googleusercontent.com/aoAV-AVFsnH4jCNG6Lr_Rw56mDnFVkYSMKD0lthebwjP306QnPaEBd91dnLHAaPWdlZqQw6j_aBMu5LhX6cjppNuAS4=s0,Johannes Tavenraat,Mannenkoppen met verschillende hoofddeksels,Mannenkoppen met verschillende hoofddeksels;; Johannes Tavenraat;; c. 1872,1561,2500
en-RP-T-1994-23-B,http://lh3.googleusercontent.com/xCm55BIEEqTJUQMSr--E6CzM3AJOuPREEcRsm5kCemqDhMOewjrZ8D0_PUyqO-YIKqzuvn0sYzzM4rmy1yoIliodgf0=s0,Johannes Tavenraat,Annotatie op een ingeplakte prent,Annotatie op een ingeplakte prent;; Johannes Tavenraat;; 1839 - c. 1872,1548,2500
en-RP-T-1994-27-43(R),http://lh3.googleusercontent.com/KDP8rUJRmu9iR6j0kbwWFcxiuybfMFHGYTJMie6HipAz4Vy00TvK72hvdmxOhwMSqvtQLZSdIeLaGwJKALPxpo8jahE=s0,Johannes Tavenraat,Zeilschip;; roeiboten en twee figuren in een roeiboot,Zeilschip;; roeiboten en twee figuren in een roeiboot;; Johannes Tavenraat;; 1841 - 1853,2048,2500
en-RP-T-1994-27-78(V),http://lh3.googleusercontent.com/kPQExfruiYVDsg2MiwbOMurbHT6AFXyBYzaNdNXVYX3ZXLnPeRVAJmQ6jei7n51lznRGsvSFzCjNwBNqtR8bqsod5fk=s0,Johannes Tavenraat,Uil op een tak,Uil op een tak;; Johannes Tavenraat;; 1841 - 1853,2061,2500
en-NG-1972-28-20-24,http://lh6.ggpht.com/L7sFfWarq_crC9jeeZf1csJqowje611k7reqYbra4YZuISDmuHWQRqarjf3u82qOhEO8CMoj41DrnPQXVId2P80j0U4=s0,Marius Bauer,Een Standbeeld voor Frans Hals,Een Standbeeld voor Frans Hals;; Marius Bauer;; 1895,2052,2772
en-SK-A-4975,http://lh3.googleusercontent.com/QOTxK-M0S6PS-JcyEnOq0y-jfefJA2sWroSXXDJe-lHsH9LDULb6evHhfumAUMFI3G18Tk6WNWr90Ao74vOnl7d3wg=s0,Marius Bauer,Benares;; 1913,Benares;; 1913;; Marius Bauer;; 1913,2133,2500
en-SK-A-3150,http://lh3.ggpht.com/XDcYcbQPGsTK8Wzga2abBdK6tJUU-yJ0yRkeHUmU43wC7o_y2W1lc4tpNuevpgEDn5Rc5VX11-DM8wIUeLXmFwJXrz0=s0,Marius Bauer,Turks leger voor Jeruzalem,Turks leger voor Jeruzalem;; Marius Bauer;; c. 1877 - c. 1932,2500,1517
en-RP-T-1978-86,http://lh6.ggpht.com/DDYnulgE85ZYkwwAiCzVNOBJ0gMl-zjB1j_ybnGkiADwEg0bb2nyCir-usrameXMMQ4xBtuSlR8GlbKb7bgOjpRrBw=s0,Marius Bauer,De Taj Mahal,De Taj Mahal;; Marius Bauer;; 1898,2597,2868
en-SK-A-3629,http://lh3.ggpht.com/ZZU2fe4FakMdmndR5OneXm2TA9K61oFCcxS617YXDymUi4056yclXVUeSIc2QXtp3BhCQlZPajD-8KFgb4Cg8sv_Fczs=s0,Marius Bauer,Taj Mahal bij maanlicht,Taj Mahal bij maanlicht;; Marius Bauer;; 1877 - 1932,2500,2156
