dir,x_pos,y_pos,prediction
40,32,9
84,120,9
176,56,2
76,68,9
176,44,2
144,140,2
140,56,9
168,96,9
144,52,9
136,0,9
8,48,2
24,132,2
0,72,2
24,24,2
20,132,2
4,48,2
12,104,2
136,84,9
52,148,9
148,148,2
56,116,9
140,16,9
124,180,9
88,120,9
176,88,2
0,16,2
116,16,9
152,160,9
16,172,2
116,40,9
100,160,9
112,24,9
100,40,9
12,8,2
60,140,9
20,152,2
144,136,9
4,44,2
100,68,9
180,32,9
148,172,2
72,132,9
180,144,9
156,60,2
156,88,2
72,148,9
168,16,9
48,128,9
68,76,9
20,92,2
144,28,9
112,164,9
112,64,9
60,172,2
176,12,9
180,168,2
112,4,9
104,40,9
56,4,9
124,128,9
16,124,2
40,76,2
32,156,2
104,76,9
72,48,9
128,84,9
68,48,9
12,36,2
120,132,9
148,160,2
40,100,2
4,84,2
56,144,9
156,148,9
4,72,2
44,144,9
52,104,9
20,0,9
112,8,9
156,172,2
116,84,9
128,152,9
40,112,2
132,52,9
16,152,2
124,36,9
40,16,9
48,104,9
60,48,9
24,148,2
4,124,2
164,20,9
56,44,9
52,0,9
40,12,9
92,168,9
0,176,9
112,100,9
144,84,9
0,180,9
20,40,2
60,96,9
12,76,2
36,108,2
48,116,9
48,12,9
136,48,9
28,28,2
16,56,2
144,64,9
172,40,2
120,96,9
128,44,9
40,172,2
28,164,2
176,0,9
40,64,2
172,52,2
36,36,2
36,44,2
112,140,9
24,160,2
160,176,2
64,40,9
80,96,9
20,148,2
88,172,2
8,148,2
120,148,9
164,156,2
28,60,2
108,16,9
112,88,9
28,96,2
148,32,9
140,108,9
28,44,2
156,68,2
96,36,9
84,112,2
156,136,9
104,16,9
156,72,2
164,72,2
56,100,9
76,136,9
88,44,9
80,60,9
20,84,2
164,168,2
144,132,2
44,156,9
60,112,9
16,76,2
44,152,9
172,56,2
92,28,9
16,176,9
32,84,2
92,176,9
176,20,9
144,88,2
28,64,2
172,160,2
28,80,2
76,144,9
28,140,2
80,12,9
16,8,2
56,20,9
152,72,2
60,32,9
16,40,2
84,176,2
140,180,2
144,116,9
80,136,9
8,156,2
108,40,9
100,152,9
132,4,9
128,80,9
16,68,2
116,148,9
100,76,9
60,68,2
104,0,9
124,96,9
24,120,2
76,156,9
48,88,2
64,64,9
32,32,9
132,100,9
88,100,9
108,76,9
116,108,2
44,32,9
84,24,9
176,148,2
76,172,2
124,40,9
60,20,9
48,136,9
108,112,2
24,172,2
180,68,2
8,28,2
112,72,9
60,88,9
100,128,9
92,156,9
168,68,2
48,140,9
84,104,2
96,180,2
28,72,2
68,24,9
156,164,2
176,84,2
32,64,2
48,16,9
24,32,2
68,44,9
68,8,9
44,96,9
16,52,2
100,132,9
116,176,9
108,68,9
28,124,2
20,156,2
144,48,9
60,44,9
16,20,2
92,96,9
124,132,9
148,4,9
64,44,9
164,172,2
112,32,9
168,104,2
84,92,9
160,92,2
120,156,9
72,172,2
60,104,9
116,96,9
120,32,9
96,68,9
116,156,9
108,140,9
80,88,9
164,32,9
112,96,9
64,12,9
60,8,9
